l_dist_mm,r_dist_mm,timestamp
-1373,-1489,37.239
-1396,-1511,37.350
-1418,-1534,37.460
-1443,-1557,37.571
-1465,-1581,37.681
-1485,-1602,37.792
-1506,-1623,37.902
-1527,-1644,38.013
-1549,-1665,38.123
-1571,-1687,38.234
-1593,-1708,38.344
-1615,-1730,38.455
-1635,-1752,38.565
-1657,-1774,38.675
-1679,-1796,38.786
-1700,-1817,38.896
-1722,-1839,39.007
-1744,-1861,39.117
-1766,-1882,39.227
-1788,-1904,39.338
-1810,-1925,39.448
-1832,-1947,39.558
-1854,-1968,39.669
-1875,-1991,39.779
-1897,-2013,39.890
-1919,-2034,40.000
-1940,-2056,40.110
-1963,-2078,40.221
-1985,-2099,40.331
-2006,-2121,40.442
-2028,-2143,40.552
-2049,-2166,40.663
-2070,-2187,40.773
-2092,-2210,40.884
-2114,-2231,40.994
-2136,-2253,41.105
-2158,-2275,41.215
-2180,-2297,41.325
-2199,-2321,41.436
-2217,-2348,41.546
-2232,-2377,41.657
-2246,-2407,41.767
-2260,-2438,41.877
-2272,-2469,41.988
-2283,-2501,42.098
-2295,-2534,42.208
-2307,-2566,42.319
-2318,-2599,42.429
-2329,-2631,42.539
-2337,-2663,42.644
-2344,-2698,42.749
-2349,-2736,42.854
-2353,-2774,42.960
-2355,-2813,43.065
-2356,-2853,43.170
-2356,-2894,43.275
-2356,-2933,43.375
-2356,-2973,43.475
-2356,-3012,43.576
-2359,-3052,43.682
-2363,-3090,43.787
-2369,-3125,43.892
-2376,-3160,43.997
-2384,-3193,44.102
-2393,-3227,44.208
-2402,-3259,44.313
-2411,-3291,44.418
-2421,-3323,44.523
-2431,-3355,44.628
-2441,-3387,44.734
-2452,-3418,44.839
-2462,-3449,44.944
-2472,-3480,45.049
-2483,-3511,45.154
-2491,-3536,45.260
-2498,-3553,45.365
-2502,-3567,45.470
-2505,-3575,45.570
-2507,-3580,45.670
-2507,-3583,45.770
-2508,-3586,45.868
-2508,-3586,45.963
-2508,-3588,46.057
-2508,-3588,46.152
-2508,-3588,46.242
-2508,-3588,46.332
-2508,-3588,46.421
-2508,-3588,46.509
-2508,-3588,46.594
-2508,-3588,46.678
-2508,-3588,46.763
-2508,-3588,46.843
-2508,-3588,46.922
-2508,-3588,47.001
-2508,-3588,47.080
-2508,-3588,47.160
-2508,-3588,47.239
-2508,-3588,47.318
-2508,-3588,47.397
-2509,-3587,47.490
-2513,-3585,47.585
-2517,-3582,47.679
-2523,-3578,47.775
-2530,-3572,47.869
-2538,-3565,47.964
-2546,-3558,48.059
-2555,-3550,48.154
-2564,-3542,48.248
-2574,-3533,48.343
-2584,-3524,48.438
-2594,-3513,48.541
-2608,-3499,48.646
-2624,-3484,48.751
-2641,-3466,48.857
-2659,-3447,48.962
-2678,-3428,49.067
-2698,-3407,49.172
-2717,-3387,49.277
-2738,-3366,49.383
-2758,-3345,49.488
-2779,-3325,49.593
-2799,-3304,49.698
-2820,-3283,49.803
-2839,-3262,49.909
-2859,-3241,50.014
-2878,-3220,50.119
-2900,-3200,50.224
-2917,-3184,50.329
-2928,-3173,50.428
-2935,-3167,50.523
-2941,-3162,50.618
-2944,-3159,50.713
-2945,-3158,50.807
-2947,-3157,50.903
-2948,-3155,50.997
-2949,-3155,51.088
-2949,-3155,51.172
-2949,-3155,51.257
-2949,-3154,51.341
-2950,-3154,51.426
-2950,-3154,51.510
-2951,-3154,51.594
-2951,-3154,51.677
-2951,-3154,51.757
-2951,-3154,51.836
-2951,-3154,51.915
-2951,-3154,51.994
-2951,-3154,52.073
-2951,-3154,52.152
-2951,-3154,52.232
-2951,-3154,52.324
-2949,-3155,52.419
-2946,-3159,52.514
-2941,-3164,52.609
-2935,-3171,52.703
-2928,-3178,52.798
-2920,-3186,52.893
-2912,-3195,52.988
-2905,-3204,53.083
-2897,-3212,53.178
-2888,-3221,53.272
-2879,-3230,53.367
-2870,-3239,53.462
-2861,-3249,53.557
-2852,-3258,53.652
-2845,-3265,53.746
-2839,-3270,53.841
-2836,-3274,53.936
-2833,-3277,54.031
-2831,-3278,54.125
-2831,-3278,54.220
-2829,-3278,54.309
-2829,-3278,54.393
-2829,-3278,54.477
-2829,-3278,54.562
-2828,-3278,54.646
-2827,-3278,54.731
-2827,-3278,54.815
-2827,-3278,54.897
-2827,-3278,54.977
-2827,-3278,55.056
-2827,-3278,55.135
-2827,-3278,55.214
-2827,-3278,55.293
-2827,-3278,55.372
-2827,-3278,55.452
-2827,-3278,55.702
-2827,-3278,55.703
-2827,-3278,55.703
-2827,-3278,55.703
-2827,-3278,55.703
-2827,-3278,55.768
-2827,-3278,55.847
-2827,-3278,55.926
-2827,-3278,56.006
-2827,-3278,56.085
-2827,-3278,56.164
-2827,-3278,56.243
-2827,-3278,56.323
-2827,-3278,56.401
-2827,-3278,56.481
-2827,-3278,56.561
-2827,-3278,56.661
-2827,-3278,56.761
-2827,-3278,56.862
-2827,-3278,56.963
-2827,-3278,57.063
-2827,-3278,57.164
-2827,-3278,57.264
-2827,-3278,57.364
-2827,-3278,57.465
-2827,-3278,57.565
-2827,-3278,57.666
-2827,-3278,57.766
-2827,-3278,57.867
-2827,-3278,57.967
-2827,-3278,58.068
-2827,-3278,58.168
-2827,-3278,58.269
-2827,-3278,58.369
-2827,-3278,58.470
-2827,-3278,58.570
-2827,-3278,58.671
-2827,-3278,58.771
-2827,-3278,58.871
-2827,-3278,58.972
-2827,-3278,59.073
-2827,-3278,59.173
-2827,-3278,59.274
-2827,-3278,59.374
-2827,-3278,59.474
-2827,-3278,59.575
-2827,-3278,59.675
-2827,-3278,59.776
-2827,-3278,59.876
-2827,-3278,59.977
-2827,-3278,60.077
-2827,-3278,60.178
-2827,-3278,60.278
-2827,-3278,60.379
-2827,-3278,60.479
-2827,-3278,60.579
-2827,-3278,60.680
-2827,-3278,60.781
-2827,-3278,60.881
-2827,-3278,60.982
-2827,-3278,61.082
-2827,-3278,61.182
-2827,-3278,61.283
-2827,-3278,61.384
-2827,-3278,61.484
-2827,-3278,61.584
