gpstime,week,gpsfix,numsats,lat,lon,alt,velx,vely,velz,nacc,eacc,vacc,sacc,tacc,timestamp
348229.200296,2055,3,10,34.59222030,-112.43322420,1558.562,-0.020,0.090,-0.210,10.320,8.285,8.850,0.504,0.00000000600,1559177011.346703768
348229.400297,2055,3,10,34.59222020,-112.43322390,1558.604,-0.150,0.200,-0.420,10.320,8.285,8.868,0.488,0.00000000600,1559177011.547033072
348229.600298,2055,3,10,34.59222000,-112.43322370,1558.679,-0.230,-0.120,-0.280,10.350,8.309,8.883,0.384,0.00000000600,1559177011.743655682
348229.800299,2055,3,10,34.59222000,-112.43322380,1558.677,0.030,-0.060,-0.080,10.380,8.333,8.901,0.360,0.00000000600,1559177011.942780733
348230.000299,2055,3,10,34.59222010,-112.43322390,1558.666,-0.060,-0.210,0.140,10.380,8.333,8.916,0.560,0.00000000600,1559177012.146964788
348230.200300,2055,3,10,34.59222010,-112.43322370,1558.687,0.070,0.080,0.100,10.410,8.357,8.934,0.400,0.00000000600,1559177012.347355127
348230.400301,2055,3,10,34.59222010,-112.43322330,1558.727,0.040,0.010,0.090,10.440,8.381,8.952,0.424,0.00000000600,1559177012.547714710
348230.600302,2055,3,10,34.59222020,-112.43322300,1558.747,-0.040,0.160,-0.160,10.440,8.381,8.967,0.528,0.00000000600,1559177012.744383812
348230.800303,2055,3,10,34.59222010,-112.43322220,1558.867,0.020,0.190,-0.150,10.470,8.405,8.982,0.560,0.00000000600,1559177012.942239046
348231.000304,2055,3,10,34.59222000,-112.43322170,1558.932,-0.060,0.060,-0.210,10.500,8.430,9.003,0.496,0.00000000600,1559177013.145107746
348231.200305,2055,3,10,34.59222000,-112.43322170,1558.970,-0.070,-0.060,-0.200,10.500,8.430,9.024,0.408,0.00000000600,1559177013.346716881
348231.400306,2055,3,10,34.59221980,-112.43322190,1559.038,-0.160,-0.230,-0.270,10.530,8.454,9.045,0.392,0.00000000600,1559177013.543494463
348231.600307,2055,3,10,34.59221970,-112.43322220,1559.048,-0.080,0.070,-0.260,10.560,8.478,9.063,0.480,0.00000000600,1559177013.746241331
348231.800308,2055,3,10,34.59221930,-112.43322190,1559.183,-0.080,0.080,-0.190,10.560,8.478,9.078,0.480,0.00000000600,1559177013.947865725
348232.000309,2055,3,10,34.59221910,-112.43322170,1559.218,-0.110,0.110,-0.080,10.590,8.502,9.090,0.432,0.00000000600,1559177014.147005796
348232.200310,2055,3,10,34.59221900,-112.43322180,1559.234,0.040,-0.100,0.080,10.590,8.502,9.099,0.496,0.00000000600,1559177014.344873667
348232.400311,2055,3,10,34.59221880,-112.43322170,1559.292,0.020,0.060,0.100,10.590,8.502,9.108,0.368,0.00000000600,1559177014.542774677
348232.600312,2055,3,10,34.59221860,-112.43322130,1559.355,0.000,0.130,0.090,10.620,8.526,9.114,0.376,0.00000000600,1559177014.741956949
348232.800313,2055,3,10,34.59221870,-112.43322120,1559.295,-0.040,0.130,-0.040,10.620,8.526,9.120,0.464,0.00000000600,1559177014.942276478
