compx,compy,compz,accelx,accely,accelz,gyrox,gyroy,gyroz,temp,baro,timestamp
0.4328,0.0640,0.2248,-0.053,0.173,-9.708,0.000148,-0.001388,0.001644,32.7,83.996,1559177106.356350899
0.4307,0.0618,0.2194,-0.034,0.158,-9.670,0.000914,-0.001265,0.000447,32.7,83.983,1559177106.392293453
0.4307,0.0606,0.2222,-0.038,0.196,-9.690,0.001039,-0.001420,0.001360,32.7,83.983,1559177106.423212528
0.4329,0.0629,0.2234,-0.032,0.150,-9.685,0.001227,-0.001131,0.001690,32.7,83.983,1559177106.455700636
0.4361,0.0606,0.2232,-0.067,0.164,-9.676,0.001492,-0.000731,0.001432,32.7,83.983,1559177106.489719391
0.4318,0.0617,0.2221,-0.043,0.165,-9.677,0.000546,-0.000014,0.001937,32.7,83.996,1559177106.524708509
0.4329,0.0617,0.2221,-0.063,0.172,-9.673,0.001136,-0.001480,0.001951,32.7,83.996,1559177106.560777426
0.4328,0.0629,0.2166,-0.045,0.178,-9.681,0.001098,-0.000910,0.001360,32.7,83.983,1559177106.598436832
0.4329,0.0617,0.2207,-0.047,0.181,-9.673,0.001122,-0.000338,0.001765,32.7,83.996,1559177106.637805939
0.4329,0.0629,0.2234,-0.037,0.177,-9.660,0.000790,-0.002085,0.001790,32.7,83.996,1559177106.679829121
0.4328,0.0617,0.2193,-0.065,0.146,-9.686,0.000907,-0.000898,0.001990,32.7,83.996,1559177106.719606876
0.4296,0.0618,0.2222,-0.051,0.165,-9.715,0.000670,-0.001905,0.002757,32.7,83.983,1559177106.759027958
0.4318,0.0617,0.2235,-0.064,0.170,-9.644,0.001371,-0.001966,0.001404,32.7,83.983,1559177106.798297167
0.4339,0.0606,0.2220,-0.059,0.169,-9.684,0.001370,-0.002102,0.000275,32.7,83.983,1559177106.837543964
0.4307,0.0652,0.2181,-0.045,0.167,-9.696,0.000604,-0.000263,0.001619,32.7,83.983,1559177106.876786232
0.4329,0.0583,0.2234,-0.058,0.186,-9.656,0.000526,-0.000262,0.001896,32.7,83.983,1559177106.916174173
0.4350,0.0629,0.2192,-0.056,0.191,-9.705,0.000201,-0.000561,0.001778,32.7,83.983,1559177106.955664158
0.4307,0.0606,0.2249,-0.067,0.183,-9.702,0.000782,-0.000156,0.000820,32.7,83.996,1559177106.994959831
0.4339,0.0606,0.2206,-0.038,0.189,-9.689,0.001005,-0.001940,0.000780,32.7,83.996,1559177107.034090757
0.4329,0.0629,0.2234,-0.048,0.188,-9.670,0.001753,-0.000568,0.000493,32.7,83.996,1559177107.073502302
