compx,compy,compz,accelx,accely,accelz,gyrox,gyroy,gyroz,temp,baro,timestamp
0.4459,0.2533,0.3303,-1.270,-0.501,-9.611,0.000760,-0.001190,0.002019,32.4,83.991,1559177250.819586754
0.4492,0.2544,0.3315,-1.248,-0.502,-9.595,0.001333,-0.001431,0.002646,32.4,83.991,1559177250.854987144
0.4492,0.2533,0.3274,-1.272,-0.511,-9.618,0.000805,-0.000124,0.000692,32.4,84.003,1559177250.886643648
0.4448,0.2544,0.3290,-1.236,-0.534,-9.622,0.001271,-0.002217,0.002310,32.4,83.991,1559177250.919461489
0.4448,0.2556,0.3277,-1.270,-0.522,-9.614,0.000833,-0.000950,0.001726,32.4,84.003,1559177250.953348875
0.4470,0.2555,0.3316,-1.244,-0.510,-9.618,0.001245,0.000458,0.001963,32.4,83.991,1559177250.988065004
0.4448,0.2578,0.3290,-1.249,-0.486,-9.592,0.001235,-0.000192,0.002512,32.4,83.978,1559177251.023937225
0.4470,0.2544,0.3289,-1.244,-0.513,-9.599,0.001541,-0.003066,0.002739,32.4,83.991,1559177251.061406136
0.4459,0.2555,0.3317,-1.253,-0.504,-9.594,0.001267,-0.001041,0.002384,32.4,83.991,1559177251.100363970
0.4448,0.2556,0.3277,-1.242,-0.496,-9.627,0.000697,-0.001857,0.001631,32.4,83.978,1559177251.140077353
0.4481,0.2567,0.3302,-1.277,-0.502,-9.581,0.001728,-0.001550,0.002594,32.4,83.991,1559177251.179224014
0.4470,0.2544,0.3316,-1.259,-0.508,-9.597,0.001070,-0.001570,0.002392,32.4,83.991,1559177251.217967033
0.4459,0.2556,0.3303,-1.250,-0.513,-9.613,0.000988,-0.000103,0.002950,32.4,83.991,1559177251.257134676
0.4470,0.2521,0.3275,-1.270,-0.515,-9.592,0.000292,-0.000528,0.002538,32.4,83.991,1559177251.296347141
0.4448,0.2544,0.3290,-1.244,-0.505,-9.606,-0.000436,-0.001448,0.001848,32.4,83.978,1559177251.335841656
0.4470,0.2544,0.3303,-1.239,-0.513,-9.591,0.001364,-0.001303,0.001700,32.4,83.991,1559177251.375345707
0.4459,0.2544,0.3290,-1.262,-0.505,-9.603,-0.000639,-0.000902,0.002217,32.4,83.991,1559177251.414483786
0.4459,0.2567,0.3290,-1.269,-0.514,-9.619,0.001040,-0.000633,0.000849,32.4,84.003,1559177251.453773499
0.4470,0.2555,0.3303,-1.267,-0.508,-9.585,0.000139,-0.003335,0.001048,32.4,83.991,1559177251.493016481
0.4448,0.2544,0.3304,-1.274,-0.511,-9.590,0.001746,-0.001217,0.001700,32.4,83.991,1559177251.532198429
0.4481,0.2544,0.3316,-1.246,-0.525,-9.565,0.001606,-0.002128,0.001191,32.4,83.991,1559177251.571381092
0.4459,0.2544,0.3290,-1.251,-0.520,-9.603,0.002024,-0.000478,0.001814,32.4,83.991,1559177251.610444784
0.4470,0.2555,0.3275,-1.259,-0.530,-9.602,0.001090,-0.001771,0.001774,32.4,83.991,1559177251.649151087
0.4470,0.2544,0.3289,-1.232,-0.507,-9.632,0.002465,-0.001324,0.001903,32.4,83.987,1559177251.688028812
0.4449,0.2544,0.3317,-1.275,-0.537,-9.623,0.001151,-0.000253,0.001596,32.4,83.991,1559177251.726811171
0.4470,0.2521,0.3289,-1.248,-0.491,-9.572,-0.000870,-0.000922,0.001273,32.4,83.991,1559177251.765481234
0.4459,0.2521,0.3276,-1.265,-0.484,-9.587,0.001436,-0.000567,0.002193,32.4,83.991,1559177251.804268599
0.4438,0.2556,0.3291,-1.251,-0.515,-9.611,0.001137,-0.000284,0.001169,32.4,83.987,1559177251.842892170
0.4470,0.2555,0.3275,-1.238,-0.484,-9.594,-0.000945,-0.001384,0.000533,32.4,83.987,1559177251.881107330
0.4481,0.2544,0.3302,-1.275,-0.500,-9.594,-0.001328,-0.000902,0.001607,32.4,83.991,1559177251.919309139
0.4459,0.2544,0.3303,-1.274,-0.504,-9.589,-0.001824,-0.001545,0.001273,32.4,83.991,1559177251.957324743
0.4470,0.2567,0.3262,-1.267,-0.497,-9.618,-0.002286,-0.001047,0.000976,32.4,83.991,1559177251.995273590
0.4470,0.2555,0.3303,-1.271,-0.491,-9.599,0.001227,-0.001528,0.002286,32.4,83.987,1559177252.032846689
0.4438,0.2544,0.3318,-1.238,-0.517,-9.589,0.004149,0.000329,0.000277,32.4,83.974,1559177252.070283175
0.4448,0.2567,0.3290,-1.256,-0.495,-9.668,-0.002289,-0.002553,0.001914,32.4,83.991,1559177252.107628584
0.4470,0.2567,0.3289,-1.262,-0.548,-9.561,0.004233,-0.002494,0.002341,32.4,83.987,1559177252.144894600
0.4438,0.2567,0.3291,-1.276,-0.515,-9.675,-0.001852,0.000562,0.001382,32.4,83.991,1559177252.182077885
0.4448,0.2544,0.3263,-1.248,-0.478,-9.567,-0.001045,-0.003976,0.002232,32.4,84.003,1559177252.219446659
0.4470,0.2544,0.3275,-1.256,-0.535,-9.548,0.001493,-0.000061,0.001845,32.4,84.000,1559177252.256943226
0.4459,0.2544,0.3290,-1.223,-0.514,-9.615,0.001443,-0.000420,0.002031,32.4,83.987,1559177252.294572592
0.4427,0.2544,0.3291,-1.260,-0.494,-9.609,0.000126,-0.001808,0.001577,32.4,83.974,1559177252.331939936
0.4459,0.2556,0.3276,-1.271,-0.527,-9.623,-0.000161,-0.000555,0.001669,32.4,84.000,1559177252.369452715
0.4438,0.2556,0.3277,-1.268,-0.488,-9.614,0.001015,-0.001558,0.001862,32.4,83.987,1559177252.407414198
0.4502,0.2567,0.3287,-1.270,-0.509,-9.635,0.002157,0.000348,0.001596,32.4,83.991,1559177252.445259571
0.4459,0.2544,0.3262,-1.260,-0.509,-9.562,0.001231,-0.001821,0.002485,32.4,83.991,1559177252.482990026
0.4459,0.2567,0.3303,-1.272,-0.516,-9.598,0.000509,-0.001247,0.001913,32.4,84.003,1559177252.520936489
0.4459,0.2544,0.3303,-1.278,-0.525,-9.607,0.001144,-0.002075,0.002405,32.4,83.987,1559177252.558725595
