compx,compy,compz,accelx,accely,accelz,gyrox,gyroy,gyroz,temp,baro,timestamp
0.4339,0.0629,0.2206,-0.061,0.171,-9.709,0.001795,-0.000631,0.001699,32.7,83.983,1559177152.216019630
0.4307,0.0629,0.2195,-0.056,0.177,-9.702,0.001224,-0.001341,0.001457,32.7,83.996,1559177152.254865885
0.4339,0.0606,0.2220,-0.055,0.203,-9.678,0.001133,-0.000851,0.001938,32.7,83.996,1559177152.293627977
0.4339,0.0595,0.2193,-0.063,0.177,-9.683,0.001090,-0.001208,0.001927,32.7,83.996,1559177152.332136631
0.4307,0.0606,0.2222,-0.054,0.177,-9.689,0.000280,-0.001614,0.001470,32.7,83.983,1559177152.370592833
0.4318,0.0617,0.2221,-0.060,0.182,-9.698,0.000566,0.000269,0.002173,32.7,83.996,1559177152.409460306
0.4318,0.0618,0.2194,-0.082,0.190,-9.694,0.000612,-0.001903,0.002044,32.7,83.996,1559177152.448468685
0.4329,0.0606,0.2193,-0.057,0.187,-9.716,0.001452,-0.001962,0.002370,32.7,83.996,1559177152.487596035
0.4340,0.0595,0.2247,-0.003,0.163,-9.698,0.001320,-0.001560,0.001378,32.7,83.983,1559177152.526930332
0.4361,0.0617,0.2192,-0.041,0.195,-9.720,0.002038,-0.000608,0.000422,32.7,83.996,1559177152.566023827
0.4329,0.0606,0.2220,-0.039,0.174,-9.694,0.001643,-0.000290,0.001237,32.7,83.996,1559177152.605544329
0.4328,0.0629,0.2207,-0.053,0.189,-9.725,0.001735,-0.002385,0.000572,32.7,83.996,1559177152.645301104
0.4328,0.0629,0.2207,-0.042,0.175,-9.718,0.001059,-0.000914,0.002309,32.7,83.983,1559177152.685056686
0.4318,0.0617,0.2221,-0.054,0.187,-9.678,-0.000047,0.000572,0.002444,32.7,83.996,1559177152.724780560
0.4339,0.0640,0.2234,-0.043,0.159,-9.695,0.000472,-0.000983,0.001897,32.7,83.983,1559177152.764081478
0.4328,0.0629,0.2193,-0.058,0.178,-9.690,0.000489,-0.001708,0.000660,32.7,83.996,1559177152.803249121
0.4329,0.0629,0.2234,-0.045,0.181,-9.650,0.000787,-0.001006,0.001802,32.7,83.983,1559177152.842547655
0.4339,0.0629,0.2234,-0.051,0.136,-9.677,0.000525,-0.001701,0.002523,32.7,83.996,1559177152.881911039
0.4350,0.0629,0.2192,-0.075,0.171,-9.706,0.000788,-0.001640,0.001938,32.7,83.983,1559177152.921642065
0.4329,0.0617,0.2221,-0.040,0.164,-9.689,0.001678,-0.001031,0.001825,32.7,83.996,1559177152.962207556
0.4339,0.0629,0.2220,-0.054,0.164,-9.700,0.000866,-0.001478,0.002413,32.7,83.996,1559177153.001780033
0.4339,0.0629,0.2179,-0.045,0.158,-9.713,0.001181,-0.001463,0.001489,32.7,83.996,1559177153.041314840
0.4318,0.0640,0.2221,-0.032,0.185,-9.673,0.000881,-0.001030,0.002029,32.7,83.996,1559177153.080754995
0.4350,0.0595,0.2219,-0.030,0.179,-9.685,0.001102,-0.000231,0.001392,32.7,83.983,1559177153.120375872
0.4350,0.0640,0.2206,-0.053,0.191,-9.672,0.000226,-0.001248,-0.000046,32.7,83.983,1559177153.160316229
0.4307,0.0629,0.2263,-0.044,0.195,-9.704,0.000500,-0.000846,0.002589,32.7,83.996,1559177153.199943542
0.4318,0.0595,0.2194,-0.067,0.161,-9.683,0.000996,-0.001568,0.001001,32.7,83.983,1559177153.239812613
0.4350,0.0617,0.2192,-0.052,0.163,-9.687,0.001517,0.000362,0.001472,32.7,83.983,1559177153.279191017
0.4318,0.0629,0.2235,-0.043,0.153,-9.671,0.002270,0.000146,0.001499,32.7,83.996,1559177153.318217039
0.4318,0.0617,0.2208,-0.041,0.156,-9.718,0.002843,-0.000941,0.001857,32.7,83.983,1559177153.357211351
0.4329,0.0606,0.2207,-0.072,0.185,-9.677,0.000100,-0.000939,0.001301,32.7,84.009,1559177153.396232128
0.4329,0.0606,0.2207,-0.044,0.173,-9.720,0.000648,-0.002085,0.002191,32.7,83.996,1559177153.435175180
0.4350,0.0617,0.2206,-0.046,0.202,-9.692,0.000990,-0.002403,0.001578,32.7,83.996,1559177153.474223375
0.4350,0.0606,0.2219,-0.051,0.177,-9.691,0.000788,-0.002488,0.001340,32.7,83.983,1559177153.513176680
0.4307,0.0618,0.2222,-0.057,0.171,-9.712,0.000755,-0.000558,0.001720,32.7,83.983,1559177153.552381277
0.4318,0.0617,0.2221,-0.072,0.160,-9.667,0.001115,-0.001316,0.002432,32.7,83.992,1559177153.591600418
0.4329,0.0617,0.2207,-0.033,0.167,-9.698,0.000638,-0.000945,0.001300,32.7,83.996,1559177153.630709648
0.4307,0.0629,0.2208,-0.047,0.175,-9.710,0.001702,-0.000311,0.002203,32.7,83.983,1559177153.669922113
0.4318,0.0606,0.2207,-0.060,0.173,-9.714,0.001711,-0.001219,0.001619,32.7,83.996,1559177153.709269285
0.4350,0.0606,0.2206,-0.056,0.176,-9.716,0.002055,-0.000735,0.001590,32.7,83.983,1559177153.748458147
0.4318,0.0606,0.2180,-0.052,0.182,-9.687,0.000382,-0.001943,0.002163,32.7,83.983,1559177153.787636518
0.4350,0.0617,0.2192,-0.055,0.172,-9.689,0.001784,-0.000981,0.001206,32.7,83.983,1559177153.826836586
0.4329,0.0606,0.2193,-0.073,0.177,-9.716,0.001815,-0.002097,0.000951,32.7,83.983,1559177153.865752459
0.4318,0.0618,0.2180,-0.030,0.166,-9.678,0.001185,-0.002012,0.002164,32.7,83.983,1559177153.904445887
0.4328,0.0640,0.2207,-0.057,0.154,-9.700,0.001781,-0.000755,0.001272,32.7,83.983,1559177153.943047762
0.4339,0.0617,0.2193,-0.041,0.164,-9.688,0.000241,-0.000394,0.001238,32.7,83.983,1559177153.981254578
0.4329,0.0606,0.2220,-0.046,0.176,-9.682,0.001314,-0.000776,0.000804,32.7,83.996,1559177154.019694090
0.4340,0.0583,0.2206,-0.064,0.183,-9.712,0.000392,-0.002181,0.002175,32.7,83.996,1559177154.058050156
0.4329,0.0595,0.2220,-0.054,0.167,-9.691,0.001462,-0.001890,0.001501,32.7,83.983,1559177154.096263409
0.4307,0.0618,0.2208,-0.019,0.180,-9.709,0.001298,-0.001898,0.001110,32.7,83.996,1559177154.134649277
0.4328,0.0617,0.2193,-0.072,0.147,-9.663,-0.000028,-0.000368,0.001179,32.7,83.996,1559177154.173031569
0.4339,0.0595,0.2179,-0.034,0.191,-9.702,0.000184,-0.001510,0.001180,32.7,83.970,1559177154.211609602
0.4339,0.0606,0.2206,-0.049,0.182,-9.680,0.001722,-0.000681,0.002590,32.7,83.983,1559177154.250326633
0.4339,0.0629,0.2206,-0.059,0.173,-9.691,-0.000183,-0.001327,0.001617,32.7,83.983,1559177154.304872513
0.4382,0.0617,0.2245,-0.040,0.162,-9.675,0.000324,-0.001243,0.002311,32.7,83.996,1559177154.305586815
0.4318,0.0618,0.2194,-0.050,0.192,-9.701,0.000683,-0.002115,0.001445,32.7,83.983,1559177154.306177855
0.4328,0.0629,0.2207,-0.042,0.148,-9.669,0.000481,-0.000879,0.001403,32.7,83.983,1559177154.306756735
0.4318,0.0629,0.2208,-0.034,0.153,-9.682,0.001338,-0.001368,0.002656,32.7,83.983,1559177154.307333469
0.4318,0.0617,0.2208,-0.050,0.180,-9.703,0.000954,-0.001253,0.001327,32.7,83.983,1559177154.307905912
0.4318,0.0640,0.2221,-0.048,0.157,-9.689,0.000552,-0.002158,0.001325,32.7,83.983,1559177154.308475733
0.4328,0.0629,0.2207,-0.072,0.154,-9.665,0.000468,0.000364,0.002125,32.7,83.996,1559177154.309042931
0.4307,0.0595,0.2222,-0.040,0.146,-9.675,-0.000094,-0.001019,0.002335,32.7,83.996,1559177154.309606552
0.4328,0.0640,0.2207,-0.044,0.172,-9.716,0.000162,-0.000032,0.000927,32.7,83.996,1559177154.310170174
0.4328,0.0629,0.2221,-0.054,0.182,-9.675,0.001226,-0.001078,0.001629,32.7,83.983,1559177154.310730457
0.4350,0.0617,0.2206,-0.040,0.181,-9.675,0.000092,-0.000175,0.002163,32.7,83.996,1559177154.311289787
0.4328,0.0640,0.2207,-0.037,0.194,-9.686,0.001025,-0.000014,0.002150,32.7,83.983,1559177154.311843395
0.4329,0.0595,0.2207,-0.037,0.169,-9.696,0.001270,0.000039,0.002428,32.7,83.983,1559177154.312394619
0.4328,0.0617,0.2193,-0.030,0.177,-9.704,0.000286,-0.001207,0.001516,32.7,83.996,1559177154.312942982
0.4329,0.0617,0.2221,-0.046,0.171,-9.705,0.000659,-0.001314,0.001725,32.7,83.983,1559177154.313490391
0.4328,0.0629,0.2221,-0.057,0.172,-9.695,0.001227,-0.002232,0.002093,32.7,83.996,1559177154.315484285
