compx,compy,compz,accelx,accely,accelz,gyrox,gyroy,gyroz,temp,baro,timestamp
0.436100,0.068600,0.226000,-0.166000,0.017000,-9.640000,0.001448,-0.002108,0.001350,30.800000,84.005000,1559172144.196417
0.436000,0.072000,0.220600,-0.152000,0.015000,-9.702000,-0.000581,-0.001039,0.002726,30.800000,84.005000,1559172144.234875
0.435000,0.067400,0.226100,-0.147000,0.026000,-9.699000,0.001438,-0.002428,0.001679,30.800000,83.989000,1559172144.274630
0.438200,0.069700,0.221800,-0.167000,0.034000,-9.681000,0.000902,-0.000672,0.002024,30.800000,84.005000,1559172144.315363
0.435000,0.069700,0.223400,-0.160000,0.060000,-9.704000,0.001293,-0.002839,0.002165,30.800000,83.992000,1559172144.354517
0.433900,0.069700,0.220700,-0.153000,0.027000,-9.732000,0.000222,-0.001657,0.001952,30.800000,84.005000,1559172144.391770
0.432800,0.070900,0.220800,-0.164000,0.024000,-9.673000,0.000561,-0.000667,0.001723,30.800000,83.992000,1559172144.442832
0.432800,0.070900,0.220800,-0.171000,0.027000,-9.638000,0.000258,0.000411,0.002109,30.800000,83.992000,1559172144.493471
0.436100,0.068600,0.226000,-0.172000,0.046000,-9.671000,0.000735,-0.001708,0.002312,30.800000,83.992000,1559172144.533481
0.433900,0.069700,0.223400,-0.169000,0.039000,-9.657000,0.000900,-0.001828,0.002748,30.800000,84.005000,1559172144.573711
0.435000,0.068600,0.224700,-0.154000,0.034000,-9.689000,0.000718,-0.002293,0.001319,30.800000,83.992000,1559172144.613624
0.433900,0.070900,0.223400,-0.147000,0.037000,-9.707000,0.001135,-0.002538,0.001825,30.800000,83.992000,1559172144.653333
0.433900,0.070900,0.222100,-0.149000,0.026000,-9.641000,0.000959,-0.000537,0.002508,30.800000,83.992000,1559172144.693172
0.433900,0.073100,0.223400,-0.169000,0.039000,-9.706000,0.000495,-0.001696,0.001312,30.800000,83.992000,1559172144.733119
0.434900,0.070900,0.222000,-0.187000,0.049000,-9.675000,0.000913,-0.002766,0.002075,30.800000,83.992000,1559172144.773179
0.437100,0.070800,0.223200,-0.158000,0.020000,-9.684000,0.000757,-0.002536,0.002240,30.800000,83.992000,1559172144.813457
0.436000,0.069700,0.223300,-0.172000,0.042000,-9.669000,0.000996,-0.001247,0.001673,30.800000,84.005000,1559172144.853759
0.433900,0.069700,0.223400,-0.145000,0.050000,-9.688000,0.001499,-0.001892,0.001552,30.800000,83.980000,1559172144.893972
0.437100,0.068600,0.220500,-0.139000,0.053000,-9.683000,0.001008,-0.002458,0.001818,30.800000,83.992000,1559172144.934280
0.435000,0.068600,0.223300,-0.172000,0.040000,-9.723000,0.000526,-0.001907,0.001525,30.800000,84.002000,1559172144.974274
0.435000,0.068600,0.223300,-0.161000,0.035000,-9.703000,0.000119,-0.001152,0.002013,30.800000,83.992000,1559172145.014470
0.433900,0.067400,0.223400,-0.160000,0.052000,-9.676000,0.001336,-0.001393,0.002326,30.800000,83.989000,1559172145.054651
0.433900,0.068600,0.222000,-0.169000,0.040000,-9.699000,-0.000549,-0.000971,0.002522,30.800000,83.992000,1559172145.094897
0.431700,0.069700,0.223500,-0.171000,0.053000,-9.690000,0.001166,-0.001389,0.002190,30.800000,84.005000,1559172145.134817
0.437100,0.067400,0.221900,-0.176000,0.039000,-9.642000,0.001105,-0.002170,0.003001,30.800000,83.992000,1559172145.174413
0.433900,0.072000,0.223400,-0.151000,0.037000,-9.682000,0.000697,-0.002039,0.001391,30.800000,83.989000,1559172145.214071
0.432800,0.067400,0.220700,-0.163000,0.031000,-9.701000,0.001857,-0.001157,0.002061,30.800000,84.005000,1559172145.253929
0.432800,0.068600,0.223500,-0.153000,0.030000,-9.684000,0.000675,-0.002092,0.001151,30.800000,84.005000,1559172145.293577
0.433900,0.069700,0.223400,-0.169000,0.039000,-9.711000,0.000813,-0.000408,0.001791,30.800000,83.992000,1559172145.333156
0.432800,0.070900,0.223500,-0.174000,0.043000,-9.636000,0.000957,-0.002048,0.001379,30.800000,83.992000,1559172145.372653
0.436000,0.068600,0.221900,-0.163000,0.038000,-9.680000,0.000254,-0.000925,0.001324,30.800000,84.005000,1559172145.412309
0.433900,0.069700,0.223400,-0.140000,0.059000,-9.692000,0.001457,-0.001196,0.001887,30.800000,84.005000,1559172145.451947
0.433900,0.069700,0.222100,-0.156000,0.028000,-9.652000,0.000740,-0.001761,0.002769,30.800000,84.005000,1559172145.491632
0.436100,0.067400,0.224600,-0.191000,0.056000,-9.651000,0.000989,-0.000803,0.002482,30.800000,83.992000,1559172145.531721
0.436100,0.067400,0.224600,-0.152000,0.016000,-9.678000,0.000567,-0.000930,0.002150,30.800000,84.005000,1559172145.571857
